CVX,Chevron Corporation,6.94,2.07,3.45,13.6
EMN,Eastman Chemical Company,6.96,2.16,3.23,8.64
EXC,Exelon Corporation,9.78,1.37,3.37,8.5
GLW,Corning Incorporated,9.28,2.36,3.08,11.75
HPE,Hewlett Packard Enterprise Company,5.99,0.84,3.63,6.72
IP,International Paper Company,6.78,1.67,4.57,19.2
LNC,Lincoln National Corporation,5.02,0.43,3.31,18.51
PSX,Phillips 66,7.57,2.14,4.19,6.3
UNM,Unum Group,5.66,0.81,3.2,13.7
XOM,Exxon Mobil Corporation,6.18,2.27,3.7,23.92
